L1,L2,L3,Tag1,Tag2,Tag3,Tag4,Tag5,Flav1,Flav2,Flav3,Flav4,Flav5,Item Name
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,Organic or additive free,Alcohol free alternative,,Sweet,Umami,,,,Fowey Valley Organic Zero Calorie Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,Low calorie alternative,,,,Bitter,Sweet,,,,Llanblethian Orchards Hopped Cider 500ml diet-friendly
Alcohol,Beer & cider,Cider,British cuisine,Alcohol free alternative,Organic or additive free,,,Bitter,Sweet,,,,Orchard Pig Zero Organically produced Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,Organic or additive free,Low calorie alternative,,,Sweet,,,,,diet-friendly Waitrose Naturally grown Light Cider - 500ml
Alcohol,Beer & cider,Cider,British cuisine,,,,,Sour,Sweet,,,,Westons Cider with a Crisp Finish 500ml
Alcohol,Beer & cider,Cider,British cuisine,,,,,Sweet,,,,,Old Mout Traditional Cider 500ml
Alcohol,Beer & cider,Cider,British cuisine,,,,,Sweet,Sour,Umami,,,Virtue Vintage Cider with a Tangy Twist 500ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,,,,Sour,Sweet,,,,Beavertown Nectar & Tart Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,,,Sweet,,,,,BrewDog Light Caramel Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,,,Sour,Bitter,Sweet,,,Camden Town Vinegary Craft Ale calorie-light 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Organic or additive free,Low calorie alternative,Alcohol free alternative,Spicy,Sweet,Sour,,,Sierra Nevada Nanny State Alcohol-Free Chemical-free Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Special event or occasion,Alcohol free alternative,,Sour,Sweet,,,,Lagunitas Punk AF Special Edition Vinegary Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,,,Salty,Sweet,,,,Goose Island Maple & Sea Salt Zero Alcohol Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,Alcohol free alternative,,Sweet,,,,,Brooklyn Brewery Molasses Zero Alcohol Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Special event or occasion,,,Sweet,,,,,Fuller's Honey Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,,,,Sweet,,,,,Vocation Bee syrup Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,,,,Sweet,,,,,Magic Rock Honeydew Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Organic or additive free,Low calorie alternative,,Sweet,Sour,,,,Evil Twin Organic Light Tart Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Kosher,Low calorie alternative,Organic or additive free,Sour,Sweet,,,,Founders Eco-friendly Kosher Agave & calorie-conscious Zesty Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,Organic or additive free,,Salty,Sweet,,,,Oskar Blues Eco-friendly Zero Alcohol Brown Sugar & Himalayan Salt Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Organic or additive free,Alcohol free alternative,,Bitter,,,,,Heineken Organically produced Zero Alcohol Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,Organic or additive free,,Sweet,,,,,Stone Brewing Organic Zero Alcohol Vanilla Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,Alcohol free alternative,,Sweet,,,,,Paulaner Zero Alcohol Coconut Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Organic or additive free,,,Sweet,Bitter,Sour,,,Cloudwater Organically produced Craft Vinegary Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Kosher,Low calorie alternative,,Umami,Sweet,Sour,,,Skinny Brands Kosher Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,,,Sweet,,,,,Northern Monk Light Treacle Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,,,Bitter,Sweet,,,,Tiny Rebel Light Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,,,Sweet,,,,,Wild Beer Co Date Light Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Low calorie alternative,,,Sour,Sweet,,,,Siren Craft Brew lean Fig & Vinegary Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,Low calorie alternative,,Sweet,Umami,,,,Buxton Zero Alcohol Apple Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Kosher,,,Sweet,,,,,Thornbridge Kosher Chocolate Craft Ale 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Kosher,Organic or additive free,Alcohol free alternative,Sweet,,,,,Salt Beer Factory Kosher Pesticide-free Zero Alcohol Mango Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,,,,Sweet,,,,,Lost and Grounded Butterscotch Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,Low calorie alternative,,Sour,,,,,Left Handed Giant Zero Alcohol Tart Craft Beer 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,,,Sweet,Sour,,,,Fourpure Zero Alcohol Honey & Tart Craft Lager 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,,,Sweet,,,,,Signature Brew Zero Alcohol Toffee Craft Lager 330ml
Alcohol,Beer & cider,Craft beer,British cuisine,American cuisine,Alcohol free alternative,,,Sweet,,,,,Gipsy Hill Zero Alcohol Stevia Craft Ale 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Kosher,Alcohol free alternative,,,Neutral,,,,,Bavaria 0.0% Kosher Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Alcohol free alternative,,,,Umami,Sweet,,,,Clausthaler 0.0% Malty & Candy-sweet Lager 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Special event or occasion,Low calorie alternative,Organic or additive free,,Sour,Sweet,,,,Beck's Organically produced Celebration Light Lager with Citrus & Honey 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,,,,Neutral,,,,,Carlsberg Light Lager 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,,,,Neutral,,,,,Bud Light Lager low-calorie 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,,,,Neutral,,,,,Stella Artois reduced-calorie Pilsner 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,,,,Neutral,,,,,Coors Lager Reduced Calorie 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,,,,Bitter,Sweet,,,,Pilsner Urquell Caramel & Hoppy Lager 330ml calorie-reduced
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,,,,Sweet,,,,,Tyskie calorie-cut Honey Lager 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,,,,Sweet,,,,,calorie-light Lech Mildly sweet Lager 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,,,,,Sour,,,,,Berliner Kindl Weisse 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,Organic or additive free,,,Sour,,,,,Erdinger Organic Light Tangy Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Alcohol free alternative,,,,Sweet,,,,,Bitburger Weissbier Alcohol-Free Sugar syrup Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Organic or additive free,,,,Neutral,,,,,Hofbrauhaus Organic Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Organic or additive free,,,,Sour,Sweet,,,,Augustiner Green Fruity & Tart Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,,,,,Neutral,,,,,Hofmeister Premium Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,,,,,Sweet,Bitter,Salty,,,Spaten Saccharine & Hoppy Lager with a Hint of Salt 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,,,,,Sweet,,,,,König Pilsener Sugary Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Kosher,,,,Bitter,,,,,Kosher Warsteiner Herbal Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Alcohol free alternative,,,,Neutral,,,,,Krombacher 0.0% Alcohol-Free Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Organic or additive free,Low calorie alternative,,,Sweet,,,,,Weihenstephaner Light Organically produced Sugar syrup Lager 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Organic or additive free,,,,Neutral,,,,,Radeberger Pesticide-free Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Organic or additive free,Alcohol free alternative,,,Neutral,,,,,Veltins Pesticide-free Zero Alcohol Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,Alcohol free alternative,,,Neutral,,,,,Holsten Pilsner Zero Alcohol Light 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,Organic or additive free,Alcohol free alternative,,Salty,,,,,Organic Light Zero Alcohol Lager with Sea Salt 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,,,,,Neutral,,,,,Löwenbräu Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Special event or occasion,,,,Sweet,,,,,Oktoberfest Celebration Sweet Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Organic or additive free,,,,Spicy,,,,,Chemical-free Mouth burning Lager 500ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Low calorie alternative,Alcohol free alternative,,,Sweet,Spicy,,,,Paulaner Zero Alcohol Dessert-like & Fiery Lager 330ml
Alcohol,Beer & cider,Lager,Germanic and Slavic cuisine,Alcohol free alternative,,,,Sweet,Umami,,,,Franziskaner Zero Alcohol Dessert-like & Bready Lager 500ml
Alcohol,Beer & cider,Other beer & cider,,,,,,Sweet,,,,,Frosty Jack's Apple Cider 500ml
Alcohol,Beer & cider,Other beer & cider,,,,,,Sweet,,,,,Rekorderlig Pear & Ginger Cider 330ml
Alcohol,Beer & cider,Other beer & cider,Alcohol free alternative,,,,,Sour,,,,,Brewdog Hazy AF Alcohol-Free Sour Ale
Alcohol,Beer & cider,Other beer & cider,Alcohol free alternative,,,,,Sweet,Spicy,,,,Erdinger Punk AF Alcohol-Free Honeyed & Fiery Beer
Alcohol,Beer & cider,Other beer & cider,Special event or occasion,,,,,Sour,Sweet,,,,Festive Mildly sweet & Sour Apple Cider
Alcohol,Beer & cider,Other beer & cider,Alcohol free alternative,,,,,Bitter,,,,,Heineken 0.0 Alcohol-Free Pungent Beer
Alcohol,Beer & cider,Other beer & cider,Low calorie alternative,Organic or additive free,Alcohol free alternative,,,Salty,Bitter,Sour,Sweet,,"Bud Zero Organic Low-Calorie Alcohol-Free Sea-salty, Tangy, Hoppy & Saccharine Ale"
Alcohol,Beer & cider,Other beer & cider,Kosher,Alcohol free alternative,,,,Bitter,Sweet,,,,Kosher Brewed Alcohol-Free Bittersweet Ale
Alcohol,Beer & cider,Other beer & cider,Alcohol free alternative,Organic or additive free,,,,Umami,Bitter,,,,Chemical-free Athletic Nanny State Alcohol-Free Miso-Infused Hoppy Beer
Alcohol,Beer & cider,Other beer & cider,Organic or additive free,Low calorie alternative,,,,Spicy,Bitter,,,,Pesticide-free Low-Calorie Fiery & Bold Ale
Alcohol,Cocktails,Alcopops,Low calorie alternative,Alcohol free alternative,,,,Umami,Sweet,,,,Bacardi Breezer Light Zero Alcohol Tropical Punch 4x275ml
Alcohol,Cocktails,Alcopops,Organic or additive free,Low calorie alternative,,,,Sweet,,,,,Belvoir Farm Pesticide-free Light Candy-sweet Orange Alcopop 275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,Organic or additive free,,,,Salty,Sweet,,,,Fentimans Chemical-free Zero Alcohol Salted Caramel Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,Organic or additive free,,,,Sweet,,,,,Hooch Pesticide-free Zero Alcohol Saccharine Strawberry Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Organic or additive free,Alcohol free alternative,,,,Sweet,,,,,Kopparberg Naturally grown Zero Alcohol Mildly sweet Peach Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,,,,,Sweet,Bitter,,,,Rekorderlig Zero Alcohol Zesty Orange Alcopop 275ml
Alcohol,Cocktails,Alcopops,,,,,,Sweet,Sour,Sweet,,,Smirnoff Sour Berry Fusion Alcopop 275ml
Alcohol,Cocktails,Alcopops,,,,,,Sweet,,,,,WKD Mildly sweet Lemonade Alcopop 275ml
Alcohol,Cocktails,Alcopops,Low calorie alternative,Alcohol free alternative,,,,Sweet,Sour,,,,Kosher Light Zero Alcohol Citrus Punch 4x275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,,,,,Sweet,,,,,Belvoir Farm Zero Alcohol Mildly sweet Cherry Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Kosher,Alcohol free alternative,Organic or additive free,,,Bitter,Sweet,,,,Fentimans Organically produced Pungent Lemonade Zero Alcohol Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,Special event or occasion,,,,Spicy,Sour,Sweet,,,Rekorderlig Celebration Zero Alcohol Spicy Citrus Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,Low calorie alternative,,,,Sweet,,,,,Hooch Light Zero Alcohol Sweet Raspberry Alcopop 275ml
Alcohol,Cocktails,Alcopops,Organic or additive free,Low calorie alternative,,,,Sweet,Sour,,,,Kopparberg Green Light Vinegary Cherry Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Low calorie alternative,Organic or additive free,,,,Sweet,,,,,Belvoir Farm Green Light Sugary Berry Alcopop 275ml
Alcohol,Cocktails,Alcopops,Organic or additive free,Low calorie alternative,,,,Sweet,,,,,WKD Low Calorie Green Sugary Passionfruit Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Low calorie alternative,Organic or additive free,,,,Sweet,,,,,lean Fentimans Organic Zero Additive Berry Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Organic or additive free,,,,,Sour,Sweet,,,,Smirnoff Chemical-free Tangy Apple Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Organic or additive free,,,,,Sweet,Sour,,,,Kosher Green Saccharine & Vinegary Lemon Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,Organic or additive free,Low calorie alternative,,,Sweet,,,,,Bacardi Breezer Pesticide-free Zero Alcohol Light Honeyed Melon Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,,,,,,Sweet,,,,,Kopparberg Strawberry-Lime Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,,,,,,Sweet,,,,,WKD Sugary Mango Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Alcohol free alternative,,,,,Sweet,,,,,Belvoir Farm Zero Alcohol Sweet Pineapple Alcopop 4x275ml
Alcohol,Cocktails,Alcopops,Special event or occasion,,,,,Sour,Sweet,,,,Smirnoff Celebration Tangy Berry Alcopop 275ml
Alcohol,Cocktails,Alcopops,Low calorie alternative,,,,,Sweet,,,,,Rekorderlig Ice Light Zero Sugar Blueberry Alcopop 275ml
Alcohol,Cocktails,Alcopops,Low calorie alternative,,,,,Sweet,,,,,Kosher Ice Slimline Raspberry Alcopop 275ml
Alcohol,Cocktails,Alcopops,Low calorie alternative,,,,,Sweet,,,,,Fentimans Ice Slimline Sugary Citrus Alcopop 275ml
Alcohol,Cocktails,Alcopops,,,,,,Sweet,,,,,Hooch Ice Sweet Berry Alcopop 275ml
Alcohol,Cocktails,Alcopops,,,,,,Sweet,,,,,Bacardi Breezer Ice Honeyed Passionfruit Alcopop 275ml
Alcohol,Cocktails,Alcopops,Organic or additive free,Alcohol free alternative,Low calorie alternative,,,Spicy,Sour,Sweet,,,Rekorderlig Organically produced Zero Alcohol Chilli Lemon 6x330ml
Alcohol,Cocktails,Cocktails,American cuisine,Southeast Asian cuisine,Japanese cuisine,Mexican cuisine,British cuisine,Sweet,,,,,American-Japanese Fusion Sugar syrup Cherry Blossom Cocktail 750ml
Alcohol,Cocktails,Cocktails,British cuisine,American cuisine,Mediterranean cuisine,,,Umami,Sweet,,,,British-style-American Fusion Maple & Mushroom-Infused Cocktail 750ml
Alcohol,Cocktails,Cocktails,South Asian cuisine,British cuisine,Southeast Asian cuisine,Sub-Saharan African cuisine,,Sweet,,,,,Uk-Southeast Asian Fusion Lychee & Ginger Cocktail 750ml
Alcohol,Cocktails,Cocktails,American cuisine,Caribbean cuisine,British cuisine,Sub-Saharan African cuisine,Italian cuisine,Sour,Bitter,,,,Caribbean-English Fusion Gentian & Lime Cocktail 750ml
Alcohol,Cocktails,Cocktails,Caribbean cuisine,Southeast Asian cuisine,Germanic and Slavic cuisine,Korean cuisine,South Asian cuisine,Bitter,,,,,Caribbean-Korean Fusion Coffee Tamarind Cocktail 750ml
Alcohol,Cocktails,Cocktails,Caribbean cuisine,Southeast Asian cuisine,Alcohol free alternative,British cuisine,,Bitter,Sweet,,,,Caribbean-Thai Fusion Zero Alcohol Agave & Cacao Punch 750ml
Alcohol,Cocktails,Cocktails,Alcohol free alternative,Italian cuisine,,,,Sweet,Sour,,,,Italian Style Alcohol-Free Sugar syrup & Lemon Spritz 750ml
Alcohol,Cocktails,Cocktails,Low calorie alternative,Italian cuisine,,,,Sweet,Spicy,,,,Italian Style Light Agave & Chilli Spritz 750ml
Alcohol,Cocktails,Cocktails,Italian cuisine,Mexican cuisine,,,,Sweet,,,,,Italian-Mexican Sangria Cocktail 750ml
Alcohol,Cocktails,Cocktails,Low calorie alternative,Italian cuisine,,,,Spicy,Sweet,,,,Italian-Style Sweetener light & Chilli Spritz 750ml
Alcohol,Cocktails,Cocktails,Special event or occasion,Korean cuisine,,,,Sweet,Sour,Bitter,,,Korean Celebration Agave & Gentian Soju Cocktail 750ml
Alcohol,Cocktails,Cocktails,Kosher,Caribbean cuisine,Germanic and Slavic cuisine,,,Bitter,Sweet,Salty,,,"Kosher Caribbean-Germanic Fusion Sugar syrup, Sea Salt & Coffee Cocktail 750ml"
Alcohol,Cocktails,Cocktails,Kosher,Japanese cuisine,,,,Bitter,Sweet,Spicy,,,Kosher Japanese Yuzu & Wasabi Cocktail 750ml
